date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-03-01,2.4,-2.8,8.9,,,,10.2,,1020.5,
2020-03-02,9.1,3.9,14.4,,,,10.4,,1015,
2020-03-03,10.9,8.9,13.3,,,,9.6,,,
2020-03-04,10.2,7.2,13.9,,,,19.5,,1007.3,
2020-03-05,7.6,4.4,12.2,,,,7.9,,1018.8,
2020-03-06,5.5,3.9,7.8,,,,13.1,,1012.8,
2020-03-07,5.9,3.3,11.1,,,,7.8,,1021.9,
2020-03-08,8,2.2,15,,,,13.6,,1030,
2020-03-09,13.4,6.7,21.7,,,264,15.1,,1027.1,
2020-03-10,14.5,11.1,17.2,,,267,17.5,,1018.5,
2020-03-11,10.8,7,14.4,,,,,,,
2020-03-12,8.2,6.7,8.9,,,43,11.1,,1020.7,
2020-03-13,13.1,8.9,20.6,,,,,,,
2020-03-14,10.1,7,15,,,,,,,
2020-03-15,9.1,6.7,13.9,,,,8.7,,1030.5,
2020-03-16,5.2,1.7,7.8,,,65,17.9,,1034.6,
2020-03-17,8.3,5.6,11.7,,,,10.4,,1023.2,
2020-03-18,8.8,6.1,12.2,,,,8.3,,1030.6,
2020-03-19,8.3,6.1,10.6,,,34,14.3,,1024.8,
2020-03-20,13.6,8.3,22.8,,,268,9.4,,1014.8,
2020-03-21,10.6,6.7,18.9,,,,10.2,,1024.1,
2020-03-22,5,2.2,8.3,,,58,19.6,,1036.7,
2020-03-23,4.3,3.9,5.6,,,46,21.4,,1026.9,
2020-03-24,8.1,3.3,14.4,,,,8.8,,1019.5,
2020-03-25,6.5,5.6,7.2,,,38,21.1,,1018.6,
2020-03-26,8.7,4.4,15.6,,,57,9.6,,1015.8,
2020-03-27,14.2,10,21.1,,,,6.9,,1011.2,
2020-03-28,9.5,7.8,12.8,,,41,18.7,,1018.9,
2020-03-29,7.9,7.2,8.3,,,30,25.2,,1014.1,
2020-03-30,8.4,6.7,10,,,60,9.8,,1014.1,
2020-03-31,6.7,5.6,7.8,,,105,11.7,,1016.2,
